Date,High,Low,Open,Close,Volume,Adj Close
2019-03-18,10205.0,10190.0,10190.0,10190.0,44.0,10190.0
2019-03-19,10190.0,10190.0,10190.0,10190.0,0.0,10190.0
2019-03-20,10190.0,10165.0,10185.0,10180.0,228.0,10180.0
2019-03-21,10290.0,10275.0,10280.0,10290.0,270.0,10290.0
2019-03-22,10315.0,10290.0,10290.0,10295.0,413.0,10295.0
2019-03-25,10485.0,10455.0,10475.0,10480.0,1662.0,10480.0
2019-03-26,10475.0,10420.0,10460.0,10460.0,1957.0,10460.0
2019-03-27,10485.0,10470.0,10475.0,10475.0,384.0,10475.0
2019-03-28,10625.0,10590.0,10620.0,10615.0,14830.0,10615.0
2019-03-29,10590.0,10575.0,10590.0,10575.0,62661.0,10575.0
2019-04-01,10560.0,10520.0,10560.0,10535.0,69308.0,10535.0
2019-04-02,10485.0,10435.0,10435.0,10475.0,3592.0,10475.0
2019-04-03,10470.0,10405.0,10470.0,10405.0,4228.0,10405.0
2019-04-04,10385.0,10350.0,10380.0,10375.0,819.0,10375.0
2019-04-05,10360.0,10340.0,10360.0,10360.0,240.0,10360.0
2019-04-08,10430.0,10385.0,10410.0,10420.0,3164.0,10420.0
2019-04-09,10385.0,10360.0,10385.0,10375.0,2442.0,10375.0
2019-04-10,10420.0,10405.0,10405.0,10415.0,181.0,10415.0
2019-04-11,10425.0,10400.0,10415.0,10425.0,1852.0,10425.0
2019-04-12,10385.0,10350.0,10350.0,10380.0,1142.0,10380.0
2019-04-15,10295.0,10265.0,10295.0,10280.0,1530.0,10280.0
2019-04-16,10300.0,10275.0,10275.0,10300.0,2059.0,10300.0
2019-04-17,10255.0,10230.0,10255.0,10230.0,2033.0,10230.0
2019-04-18,10280.0,10235.0,10235.0,10270.0,224.0,10270.0
2019-04-19,10310.0,10280.0,10280.0,10310.0,1030.0,10310.0
2019-04-22,10300.0,10290.0,10295.0,10290.0,172.0,10290.0
2019-04-23,10275.0,10250.0,10260.0,10270.0,2697.0,10270.0
2019-04-24,10300.0,10260.0,10275.0,10300.0,546.0,10300.0
2019-04-25,10365.0,10340.0,10350.0,10355.0,715.0,10355.0
2019-04-26,10350.0,10335.0,10350.0,10335.0,255.0,10335.0
2019-04-29,10375.0,10345.0,10375.0,10370.0,2703.0,10370.0
2019-04-30,10340.0,10300.0,10305.0,10340.0,4868.0,10340.0
2019-05-02,10395.0,10355.0,10395.0,10375.0,5817.0,10375.0
2019-05-03,10365.0,10340.0,10340.0,10355.0,271.0,10355.0
2019-05-07,10445.0,10415.0,10445.0,10420.0,377.0,10420.0
2019-05-08,10495.0,10455.0,10495.0,10480.0,314.0,10480.0
2019-05-09,10465.0,10440.0,10445.0,10465.0,3377.0,10465.0
2019-05-10,10485.0,10470.0,10475.0,10475.0,3523.0,10475.0
2019-05-13,10505.0,10480.0,10480.0,10500.0,1616.0,10500.0
2019-05-14,10545.0,10505.0,10530.0,10545.0,854.0,10545.0
2019-05-15,10540.0,10525.0,10540.0,10525.0,140.0,10525.0
2019-05-16,10600.0,10585.0,10590.0,10595.0,2420.0,10595.0
2019-05-17,10570.0,10535.0,10545.0,10570.0,990.0,10570.0
2019-05-20,10570.0,10530.0,10540.0,10570.0,11325.0,10570.0
2019-05-21,10555.0,10520.0,10545.0,10555.0,10441.0,10555.0
2019-05-22,10535.0,10500.0,10535.0,10535.0,693.0,10535.0
2019-05-23,10600.0,10565.0,10595.0,10575.0,4292.0,10575.0
2019-05-24,10685.0,10670.0,10670.0,10685.0,1153.0,10685.0
2019-05-27,10710.0,10690.0,10710.0,10700.0,170.0,10700.0
2019-05-28,10730.0,10700.0,10730.0,10725.0,4059.0,10725.0
2019-05-29,10845.0,10785.0,10805.0,10845.0,3046.0,10845.0
2019-05-30,10815.0,10775.0,10800.0,10815.0,2320.0,10815.0
2019-05-31,10960.0,10860.0,10880.0,10950.0,15690.0,10950.0
2019-06-03,11065.0,11015.0,11060.0,11040.0,15443.0,11040.0
2019-06-04,11095.0,11060.0,11070.0,11095.0,4502.0,11095.0
2019-06-05,11005.0,10950.0,10975.0,11005.0,4209.0,11005.0
2019-06-07,10965.0,10945.0,10955.0,10955.0,1517.0,10955.0
2019-06-10,11005.0,10975.0,10985.0,10975.0,1655.0,10975.0
2019-06-11,10950.0,10910.0,10950.0,10925.0,1973.0,10925.0
2019-06-12,11000.0,10945.0,10955.0,11000.0,3090.0,11000.0
2019-06-13,10990.0,10940.0,10960.0,10980.0,316.0,10980.0
2019-06-14,11010.0,10995.0,10995.0,11010.0,102.0,11010.0
2019-06-17,11025.0,10980.0,11025.0,11010.0,3517.0,11010.0
2019-06-18,11065.0,11020.0,11020.0,11065.0,743.0,11065.0
2019-06-19,11095.0,11075.0,11085.0,11090.0,616.0,11090.0
2019-06-20,11210.0,11165.0,11175.0,11200.0,1754.0,11200.0
2019-06-21,11170.0,11115.0,11130.0,11155.0,2930.0,11155.0
2019-06-24,11065.0,11005.0,11020.0,11045.0,4470.0,11045.0
2019-06-25,11140.0,11075.0,11075.0,11130.0,3091.0,11130.0
2019-06-26,11140.0,11110.0,11110.0,11120.0,4532.0,11120.0
2019-06-27,11080.0,11020.0,11050.0,11045.0,13661.0,11045.0
2019-06-28,11130.0,11105.0,11105.0,11115.0,13344.0,11115.0
2019-07-01,11100.0,11045.0,11075.0,11070.0,13503.0,11070.0
