Date,High,Low,Open,Close,Volume,Adj Close
2015-03-11,9055.0,9015.0,9015.0,9045.0,49273.0,9045.0
2015-03-12,8980.0,8925.0,8980.0,8965.0,149323.0,8965.0
2015-03-13,9020.0,8970.0,8975.0,9010.0,34662.0,9010.0
2015-03-16,9025.0,8965.0,8980.0,9025.0,64476.0,9025.0
2015-03-17,8985.0,8930.0,8985.0,8930.0,109485.0,8930.0
2015-03-18,9100.0,8910.0,9100.0,8915.0,78694.0,8915.0
2015-03-19,9100.0,9045.0,9100.0,9100.0,117890.0,9100.0
2015-03-20,9110.0,9050.0,9110.0,9085.0,42711.0,9085.0
2015-03-23,9170.0,9145.0,9160.0,9165.0,56457.0,9165.0
2015-03-24,9200.0,9180.0,9180.0,9195.0,75252.0,9195.0
2015-03-25,9250.0,9200.0,9235.0,9205.0,51258.0,9205.0
2015-03-26,9270.0,9225.0,9240.0,9260.0,87250.0,9260.0
2015-03-27,9300.0,9275.0,9295.0,9290.0,45393.0,9290.0
2015-03-30,9290.0,9210.0,9290.0,9215.0,55844.0,9215.0
2015-03-31,9215.0,9135.0,9215.0,9170.0,28814.0,9170.0
2015-04-01,9190.0,9145.0,9145.0,9175.0,27703.0,9175.0
2015-04-02,9300.0,9270.0,9285.0,9290.0,72465.0,9290.0
2015-04-03,9295.0,9255.0,9295.0,9280.0,38499.0,9280.0
2015-04-06,9440.0,9385.0,9390.0,9385.0,106294.0,9385.0
2015-04-07,9410.0,9365.0,9400.0,9400.0,27951.0,9400.0
2015-04-08,9400.0,9330.0,9400.0,9335.0,22499.0,9335.0
2015-04-09,9330.0,9230.0,9330.0,9265.0,42823.0,9265.0
2015-04-10,9285.0,9210.0,9255.0,9275.0,38865.0,9275.0
2015-04-13,9350.0,9285.0,9315.0,9310.0,32417.0,9310.0
2015-04-14,9325.0,9255.0,9310.0,9290.0,61061.0,9290.0
2015-04-15,9270.0,9235.0,9250.0,9255.0,38124.0,9255.0
2015-04-16,9345.0,9280.0,9300.0,9320.0,46778.0,9320.0
2015-04-17,9305.0,9260.0,9305.0,9300.0,27931.0,9300.0
2015-04-20,9355.0,9315.0,9320.0,9315.0,41551.0,9315.0
2015-04-21,9290.0,9225.0,9290.0,9260.0,33168.0,9260.0
2015-04-22,9305.0,9265.0,9265.0,9295.0,44120.0,9295.0
2015-04-23,9235.0,9175.0,9235.0,9210.0,65724.0,9210.0
2015-04-24,9225.0,9190.0,9210.0,9220.0,27966.0,9220.0
2015-04-27,9165.0,9125.0,9150.0,9165.0,87711.0,9165.0
2015-04-28,9280.0,9245.0,9260.0,9270.0,47346.0,9270.0
2015-04-29,9360.0,9340.0,9345.0,9345.0,82375.0,9345.0
2015-04-30,9340.0,9300.0,9340.0,9305.0,27042.0,9305.0
2015-05-04,9175.0,9115.0,9135.0,9165.0,113959.0,9165.0
2015-05-06,9270.0,9220.0,9220.0,9260.0,55181.0,9260.0
2015-05-07,9235.0,9185.0,9235.0,9205.0,49143.0,9205.0
2015-05-08,9185.0,9145.0,9185.0,9150.0,76471.0,9150.0
2015-05-11,9200.0,9180.0,9180.0,9190.0,29159.0,9190.0
2015-05-12,9170.0,9140.0,9165.0,9150.0,52221.0,9150.0
2015-05-13,9220.0,9190.0,9205.0,9215.0,49460.0,9215.0
2015-05-14,9395.0,9355.0,9365.0,9375.0,154296.0,9375.0
2015-05-15,9450.0,9405.0,9440.0,9405.0,46123.0,9405.0
2015-05-18,9485.0,9425.0,9445.0,9485.0,76493.0,9485.0
2015-05-19,9480.0,9425.0,9470.0,9435.0,33368.0,9435.0
2015-05-20,9360.0,9330.0,9345.0,9340.0,67891.0,9340.0
2015-05-21,9375.0,9345.0,9375.0,9365.0,11329.0,9365.0
2015-05-22,9420.0,9315.0,9420.0,9335.0,32462.0,9335.0
2015-05-26,9355.0,9315.0,9355.0,9325.0,51504.0,9325.0
2015-05-27,9210.0,9180.0,9210.0,9205.0,120160.0,9205.0
2015-05-28,9210.0,9180.0,9210.0,9195.0,40504.0,9195.0
2015-05-29,9250.0,9195.0,9200.0,9250.0,24046.0,9250.0
2015-06-01,9235.0,9210.0,9230.0,9230.0,30255.0,9230.0
2015-06-02,9230.0,9175.0,9230.0,9195.0,44884.0,9195.0
2015-06-03,9235.0,9175.0,9175.0,9235.0,28061.0,9235.0
2015-06-04,9180.0,9145.0,9180.0,9165.0,71739.0,9165.0
2015-06-05,9150.0,9105.0,9150.0,9120.0,61707.0,9120.0
2015-06-08,9110.0,9055.0,9110.0,9070.0,109936.0,9070.0
2015-06-09,9095.0,9065.0,9080.0,9095.0,47719.0,9095.0
2015-06-10,9125.0,9080.0,9115.0,9120.0,39021.0,9120.0
2015-06-11,9180.0,9145.0,9180.0,9180.0,40771.0,9180.0
2015-06-12,9155.0,9140.0,9140.0,9140.0,26271.0,9140.0
2015-06-15,9150.0,9120.0,9140.0,9130.0,25502.0,9130.0
2015-06-16,9175.0,9145.0,9150.0,9170.0,35814.0,9170.0
2015-06-17,9150.0,9120.0,9150.0,9135.0,30105.0,9135.0
2015-06-18,9175.0,9145.0,9145.0,9175.0,29705.0,9175.0
2015-06-19,9285.0,9255.0,9265.0,9270.0,132447.0,9270.0
2015-06-22,9275.0,9235.0,9275.0,9255.0,36416.0,9255.0
2015-06-23,9195.0,9145.0,9165.0,9175.0,45888.0,9175.0
2015-06-24,9130.0,9105.0,9130.0,9115.0,44201.0,9115.0
2015-06-25,9115.0,9090.0,9100.0,9110.0,71432.0,9110.0
2015-06-26,9100.0,9080.0,9095.0,9080.0,72020.0,9080.0
2015-06-29,9160.0,9120.0,9120.0,9155.0,79335.0,9155.0
2015-06-30,9140.0,9095.0,9125.0,9125.0,78591.0,9125.0
2015-07-01,9120.0,9075.0,9120.0,9080.0,81846.0,9080.0
2015-07-02,9045.0,9025.0,9045.0,9035.0,69190.0,9035.0
2015-07-03,9035.0,9020.0,9025.0,9035.0,50331.0,9035.0
2015-07-06,9080.0,9020.0,9075.0,9030.0,82656.0,9030.0
2015-07-07,9045.0,9010.0,9030.0,9030.0,49090.0,9030.0
2015-07-08,9000.0,8905.0,9000.0,8930.0,138664.0,8930.0
2015-07-09,8980.0,8925.0,8940.0,8965.0,80982.0,8965.0
2015-07-10,8985.0,8940.0,8965.0,8980.0,43951.0,8980.0
2015-07-13,8995.0,8955.0,8980.0,8975.0,59936.0,8975.0
2015-07-14,8950.0,8930.0,8950.0,8940.0,40518.0,8940.0
2015-07-15,8940.0,8915.0,8915.0,8930.0,38913.0,8930.0
2015-07-16,8890.0,8860.0,8890.0,8875.0,75675.0,8875.0
2015-07-17,8855.0,8830.0,8850.0,8850.0,51335.0,8850.0
2015-07-20,8750.0,8420.0,8750.0,8545.0,314202.0,8545.0
2015-07-21,8535.0,8460.0,8475.0,8515.0,135507.0,8515.0
2015-07-22,8500.0,8420.0,8500.0,8425.0,147144.0,8425.0
2015-07-23,8485.0,8420.0,8425.0,8480.0,65883.0,8480.0
2015-07-24,8500.0,8310.0,8500.0,8375.0,170961.0,8375.0
2015-07-27,8480.0,8430.0,8455.0,8480.0,89654.0,8480.0
2015-07-28,8500.0,8425.0,8500.0,8475.0,76751.0,8475.0
2015-07-29,8475.0,8440.0,8470.0,8470.0,46617.0,8470.0
2015-07-30,8475.0,8425.0,8470.0,8440.0,47472.0,8440.0
2015-07-31,8420.0,8350.0,8415.0,8375.0,96473.0,8375.0
2015-08-03,8455.0,8410.0,8440.0,8440.0,47462.0,8440.0
2015-08-04,8370.0,8335.0,8365.0,8370.0,55788.0,8370.0
2015-08-05,8390.0,8355.0,8380.0,8390.0,18138.0,8390.0
2015-08-06,8380.0,8345.0,8370.0,8380.0,30221.0,8380.0
2015-08-07,8405.0,8380.0,8395.0,8390.0,84736.0,8390.0
2015-08-10,8460.0,8395.0,8410.0,8460.0,48750.0,8460.0
2015-08-11,8525.0,8435.0,8500.0,8495.0,66200.0,8495.0
2015-08-12,8570.0,8485.0,8535.0,8560.0,91594.0,8560.0
2015-08-13,8680.0,8640.0,8675.0,8650.0,76805.0,8650.0
2015-08-14,8650.0,8650.0,8650.0,8650.0,0.0,8650.0
2015-08-17,8635.0,8585.0,8610.0,8630.0,44642.0,8630.0
2015-08-18,8630.0,8605.0,8630.0,8630.0,49827.0,8630.0
2015-08-19,8635.0,8600.0,8605.0,8625.0,28807.0,8625.0
2015-08-20,8810.0,8695.0,8695.0,8790.0,90388.0,8790.0
2015-08-21,9010.0,8885.0,8935.0,8980.0,193056.0,8980.0
2015-08-24,8980.0,8915.0,8980.0,8940.0,180403.0,8940.0
2015-08-25,8920.0,8880.0,8890.0,8885.0,153916.0,8885.0
2015-08-26,8850.0,8735.0,8825.0,8755.0,97087.0,8755.0
2015-08-27,8705.0,8655.0,8660.0,8680.0,45330.0,8680.0
2015-08-28,8745.0,8685.0,8685.0,8720.0,26288.0,8720.0
2015-08-31,8770.0,8725.0,8755.0,8765.0,19800.0,8765.0
2015-09-01,8830.0,8750.0,8760.0,8810.0,35492.0,8810.0
2015-09-02,8810.0,8765.0,8810.0,8810.0,41441.0,8810.0
2015-09-03,8760.0,8730.0,8760.0,8735.0,27110.0,8735.0
2015-09-04,8705.0,8670.0,8705.0,8675.0,18519.0,8675.0
2015-09-07,8680.0,8630.0,8660.0,8680.0,17638.0,8680.0
2015-09-08,8660.0,8625.0,8660.0,8640.0,20784.0,8640.0
2015-09-09,8690.0,8645.0,8650.0,8675.0,24473.0,8675.0
2015-09-10,8565.0,8525.0,8565.0,8560.0,66209.0,8560.0
2015-09-11,8605.0,8580.0,8595.0,8590.0,70684.0,8590.0
2015-09-14,8575.0,8520.0,8540.0,8560.0,40075.0,8560.0
