Date,High,Low,Open,Close,Volume,Adj Close
2016-06-28,10000.099609375,10000.099609375,10000.099609375,10000.099609375,0.0,10000.099609375
2016-06-29,10000.2001953125,10000.2001953125,10000.2001953125,10000.2001953125,0.0,10000.2001953125
2016-06-30,9930.0498046875,9930.0498046875,9930.0498046875,9930.0498046875,0.0,9930.0498046875
2016-07-01,9943.2099609375,9943.2099609375,9943.2099609375,9943.2099609375,0.0,9943.2099609375
2016-07-04,10076.2998046875,10076.2998046875,10076.2998046875,10076.2998046875,0.0,10076.2998046875
2016-07-05,10310.0,10170.0,10180.0,10310.0,484988.0,10310.0
2016-07-06,10290.0,10120.0,10280.0,10260.0,382827.0,10260.0
2016-07-07,10360.0,10265.0,10345.0,10330.0,502264.0,10330.0
2016-07-08,10430.0,10310.0,10390.0,10370.0,416281.0,10370.0
2016-07-11,10490.0,10225.0,10395.0,10265.0,443935.0,10265.0
2016-07-12,10235.0,10120.0,10235.0,10145.0,474007.0,10145.0
2016-07-13,10375.0,10195.0,10260.0,10315.0,302963.0,10315.0
2016-07-14,10510.0,10405.0,10490.0,10450.0,397275.0,10450.0
2016-07-15,10445.0,10235.0,10400.0,10295.0,320097.0,10295.0
2016-07-18,10295.0,10220.0,10260.0,10295.0,352137.0,10295.0
2016-07-19,10500.0,10440.0,10470.0,10445.0,512240.0,10445.0
2016-07-20,10385.0,10220.0,10335.0,10250.0,448095.0,10250.0
2016-07-21,10310.0,10210.0,10250.0,10210.0,463230.0,10210.0
2016-07-22,10210.0,9955.0,10210.0,10050.0,257410.0,10050.0
2016-07-25,10160.0,9950.0,10095.0,10010.0,529545.0,10010.0
2016-07-26,10050.0,9940.0,10045.0,9975.0,502022.0,9975.0
2016-07-27,10090.0,9990.0,10045.0,10005.0,490609.0,10005.0
2016-07-28,10110.0,10040.0,10095.0,10070.0,447139.0,10070.0
2016-07-29,10085.0,9995.0,10085.0,10005.0,388270.0,10005.0
2016-08-01,10000.0,9820.0,10000.0,9885.0,386370.0,9885.0
2016-08-02,9915.0,9585.0,9915.0,9625.0,637553.0,9625.0
2016-08-03,9675.0,9575.0,9580.0,9635.0,421687.0,9635.0
2016-08-04,9660.0,9555.0,9610.0,9645.0,458161.0,9645.0
2016-08-05,9645.0,9420.0,9645.0,9420.0,439689.0,9420.0
2016-08-08,9520.0,9350.0,9460.0,9405.0,439942.0,9405.0
2016-08-09,9590.0,9480.0,9505.0,9550.0,456672.0,9550.0
2016-08-10,9630.0,9520.0,9600.0,9630.0,443242.0,9630.0
2016-08-11,9810.0,9655.0,9670.0,9790.0,503094.0,9790.0
2016-08-12,9970.0,9810.0,9850.0,9920.0,442063.0,9920.0
2016-08-16,9930.0,9850.0,9930.0,9870.0,362645.0,9870.0
2016-08-17,9970.0,9825.0,9830.0,9970.0,484751.0,9970.0
2016-08-18,10029.599609375,10029.599609375,10029.599609375,10029.599609375,0.0,10029.599609375
2016-08-19,10235.0,10000.0,10000.0,10180.0,493313.0,10180.0
2016-08-22,10280.0,10160.0,10280.0,10180.0,392644.0,10180.0
2016-08-23,10185.0,10000.0,10185.0,10065.0,432412.0,10065.0
2016-08-24,10185.0,10040.0,10085.0,10155.0,422231.0,10155.0
2016-08-25,10250.0,9990.0,10250.0,10035.0,293865.0,10035.0
2016-08-26,10145.0,9995.0,10000.0,10135.0,440598.0,10135.0
2016-08-29,10270.0,10100.0,10200.0,10250.0,446543.0,10250.0
2016-08-30,10255.0,10150.0,10245.0,10255.0,302157.0,10255.0
2016-08-31,10390.0,10175.0,10390.0,10260.0,427345.0,10260.0
2016-09-01,10315.0,10225.0,10260.0,10255.0,445865.0,10255.0
2016-09-02,10350.0,10195.0,10350.0,10200.0,412106.0,10200.0
2016-09-05,10210.0,10110.0,10190.0,10140.0,436681.0,10140.0
2016-09-06,10160.0,10055.0,10145.0,10085.0,434439.0,10085.0
2016-09-07,10115.0,9905.0,10085.0,9905.0,371335.0,9905.0
2016-09-08,10020.0,9925.0,9945.0,9955.0,436754.0,9955.0
2016-09-09,10095.0,10005.0,10045.0,10045.0,306724.0,10045.0
2016-09-12,10150.0,9965.0,10000.0,9975.0,412657.0,9975.0
2016-09-13,10160.0,9970.0,9970.0,10160.0,260292.0,10160.0
2016-09-19,10165.0,9950.0,10160.0,9995.0,427798.0,9995.0
2016-09-20,10080.0,10000.0,10005.0,10025.0,471978.0,10025.0
2016-09-21,10140.0,10015.0,10050.0,10140.0,341740.0,10140.0
2016-09-22,10195.0,10065.0,10195.0,10130.0,372294.0,10130.0
2016-09-23,10160.0,10070.0,10150.0,10130.0,311190.0,10130.0
2016-09-26,10165.0,10130.0,10150.0,10155.0,545674.0,10155.0
2016-09-27,10225.0,10120.0,10155.0,10120.0,301216.0,10120.0
2016-09-28,10195.0,10100.0,10160.0,10125.0,460134.0,10125.0
2016-09-29,10255.0,10090.0,10125.0,10255.0,358760.0,10255.0
2016-09-30,10280.0,10155.0,10280.0,10200.0,290041.0,10200.0
2016-10-04,10180.0,10070.0,10175.0,10180.0,249132.0,10180.0
2016-10-05,10240.0,10180.0,10180.0,10235.0,383156.0,10235.0
2016-10-06,10250.0,10175.0,10235.0,10235.0,316309.0,10235.0
2016-10-07,10240.0,10000.0,10240.0,10080.0,294226.0,10080.0
2016-10-10,10195.0,10020.0,10020.0,10110.0,290404.0,10110.0
