Date,High,Low,Open,Close,Volume,Adj Close
2019-03-18,23465.0,23285.0,23295.0,23440.0,410.0,23440.0
2019-03-19,23700.0,23440.0,23500.0,23565.0,608.0,23565.0
2019-03-20,23600.0,23380.0,23380.0,23600.0,5185.0,23600.0
2019-03-21,24200.0,23615.0,24200.0,23860.0,2283.0,23860.0
2019-03-22,24200.0,23835.0,23865.0,24190.0,2861.0,24190.0
2019-03-25,23995.0,23540.0,23995.0,23600.0,1588.0,23600.0
2019-03-26,23975.0,23650.0,23650.0,23795.0,383.0,23795.0
2019-03-27,23890.0,23775.0,23785.0,23845.0,154.0,23845.0
2019-03-28,23845.0,23610.0,23845.0,23690.0,769.0,23690.0
2019-03-29,23890.0,23650.0,23890.0,23710.0,352.0,23710.0
2019-04-01,23765.0,23550.0,23765.0,23580.0,1444.0,23580.0
2019-04-02,23975.0,23585.0,23585.0,23950.0,1323.0,23950.0
2019-04-03,23995.0,23700.0,23950.0,23975.0,2488.0,23975.0
2019-04-04,24100.0,23720.0,23975.0,23960.0,1194.0,23960.0
2019-04-05,24175.0,23840.0,24175.0,23910.0,237.0,23910.0
2019-04-08,24120.0,23780.0,23830.0,23980.0,838.0,23980.0
2019-04-09,24365.0,24100.0,24215.0,24240.0,13770.0,24240.0
2019-04-10,24295.0,24220.0,24240.0,24265.0,5841.0,24265.0
2019-04-11,24925.0,24475.0,24530.0,24665.0,8893.0,24665.0
2019-04-12,24540.0,24355.0,24540.0,24450.0,1528.0,24450.0
2019-04-15,24580.0,24495.0,24495.0,24515.0,616.0,24515.0
2019-04-16,24500.0,24320.0,24350.0,24440.0,847.0,24440.0
2019-04-17,24650.0,24335.0,24610.0,24365.0,376.0,24365.0
2019-04-18,24780.0,24400.0,24400.0,24590.0,3171.0,24590.0
2019-04-19,24585.0,24420.0,24420.0,24500.0,802.0,24500.0
2019-04-22,24695.0,24405.0,24500.0,24670.0,3019.0,24670.0
2019-04-23,25035.0,24700.0,24955.0,24730.0,1307.0,24730.0
2019-04-24,25240.0,24875.0,24880.0,24875.0,3634.0,24875.0
2019-04-25,25200.0,24895.0,25200.0,24940.0,2527.0,24940.0
2019-04-26,24850.0,24580.0,24850.0,24580.0,653.0,24580.0
2019-04-29,24705.0,24485.0,24580.0,24605.0,2676.0,24605.0
2019-04-30,24980.0,24690.0,24700.0,24980.0,1712.0,24980.0
2019-05-02,24980.0,24550.0,24980.0,24760.0,608.0,24760.0
2019-05-03,24800.0,24560.0,24760.0,24795.0,2059.0,24795.0
2019-05-07,24790.0,24690.0,24790.0,24745.0,628.0,24745.0
2019-05-08,24790.0,24455.0,24790.0,24530.0,772.0,24530.0
2019-05-09,24505.0,24250.0,24500.0,24350.0,3419.0,24350.0
2019-05-10,24840.0,24345.0,24840.0,24485.0,3478.0,24485.0
2019-05-13,24485.0,24270.0,24485.0,24300.0,103.0,24300.0
2019-05-14,24380.0,24255.0,24380.0,24365.0,604.0,24365.0
2019-05-15,25200.0,24740.0,24750.0,25135.0,10625.0,25135.0
2019-05-16,25300.0,25010.0,25135.0,25010.0,2937.0,25010.0
2019-05-17,25395.0,25230.0,25250.0,25395.0,2757.0,25395.0
2019-05-20,25800.0,25265.0,25800.0,25500.0,2776.0,25500.0
2019-05-21,25590.0,25465.0,25495.0,25575.0,1575.0,25575.0
2019-05-22,26215.0,25725.0,25725.0,26095.0,2619.0,26095.0
2019-05-23,26350.0,26110.0,26165.0,26285.0,2332.0,26285.0
2019-05-24,25965.0,25735.0,25850.0,25850.0,2885.0,25850.0
2019-05-27,25990.0,25725.0,25725.0,25800.0,551.0,25800.0
2019-05-28,26165.0,25655.0,25655.0,25800.0,1079.0,25800.0
