Date,High,Low,Open,Close,Volume,Adj Close
2020-01-15,49991,49991,49991,49991,0,49991
2020-01-16,50370,49950,50010,50045,13348,50045
2020-01-17,50600,49860,50230,49910,6601,49910
2020-01-20,49705,49535,49605,49695,134,49695
2020-01-21,50195,49615,49615,50195,8,50195
2020-01-22,49915,49835,49915,49835,3,49835
2020-01-23,50055,49920,49920,50010,6,50010
2020-01-28,50770,50600,50770,50670,116,50670
2020-01-29,50745,50405,50405,50745,14,50745
2020-01-30,51140,50910,50910,51140,23,51140
2020-01-31,50930,50795,50885,50930,88,50930
2020-02-03,51240,51050,51240,51050,208,51050
2020-02-04,50850,50425,50850,50515,309,50515
2020-02-05,50710,50355,50355,50630,193,50630
2020-02-06,50640,50400,50520,50400,8,50400
2020-02-07,50790,50615,50615,50745,394,50745
2020-02-10,50905,50625,50830,50730,100,50730
2020-02-11,50805,50645,50805,50645,134,50645
2020-02-12,50710,50620,50710,50620,337,50620
2020-02-13,50710,50655,50710,50660,42,50660
2020-02-14,50635,50260,50610,50290,242,50290
2020-02-17,50600,50235,50235,50600,359,50600
2020-02-18,51090,50585,50585,51090,283,51090
2020-02-19,51315,50710,50955,51045,3906,51045
2020-02-20,51450,51145,51145,51370,241,51370
2020-02-21,51895,51365,51385,51895,214,51895
2020-02-24,52335,52125,52190,52130,1470,52130
2020-02-25,52285,51920,52285,52185,1052,52185
2020-02-26,52480,52245,52295,52410,606,52410
2020-02-27,52340,51890,52305,51890,928,51890
2020-02-28,52645,51980,51980,52645,1165,52645
2020-03-02,53270,52380,53170,52410,1177,52410
2020-03-03,52380,52045,52045,52380,614,52380
2020-03-04,52965,52770,52935,52770,2318,52770
2020-03-05,52650,52385,52435,52430,1677,52430
2020-03-06,52630,52095,52480,52095,12761,52095
2020-03-09,52095,52095,52095,52095,0,52095
2020-03-11,52485,51980,52375,52455,307,52455
